artistName,trackName,msPlayed
Ben Wright,A Very Nice Prince / First Midnight / Giants in the Sky,38698
Lea Salonga,A Whole New World,1749
"Harry Connick, Jr.",A Wink and a Smile,95360
Lorde,A World Alone,2623
Lorde,A World Alone,9570
Lorde,A World Alone,23480
The Lumineers,A.M. RADIO,1160
The Lumineers,A.M. RADIO,1207
The Lumineers,A.M. RADIO,1277
The Lumineers,A.M. RADIO,1343
The Lumineers,A.M. RADIO,1741
The Lumineers,A.M. RADIO,2540
The Lumineers,A.M. RADIO,3065
The Lumineers,A.M. RADIO,3297
The Lumineers,A.M. RADIO,3366
The Lumineers,A.M. RADIO,3430
The Lumineers,A.M. RADIO,3854
The Lumineers,A.M. RADIO,4017
The Lumineers,A.M. RADIO,5910
The Lumineers,A.M. RADIO,6336
The Lumineers,A.M. RADIO,6339
The Lumineers,A.M. RADIO,6460
The Lumineers,A.M. RADIO,7244
The Lumineers,A.M. RADIO,8142
The Lumineers,A.M. RADIO,8614
The Lumineers,A.M. RADIO,8680
The Lumineers,A.M. RADIO,10797
The Lumineers,A.M. RADIO,11445
The Lumineers,A.M. RADIO,13316
The Lumineers,A.M. RADIO,13640
The Lumineers,A.M. RADIO,19140
The Lumineers,A.M. RADIO,22423
The Lumineers,A.M. RADIO,27264
The Lumineers,A.M. RADIO,38310
The Lumineers,A.M. RADIO,39055
The Lumineers,A.M. RADIO,64470
The Lumineers,A.M. RADIO,64853
The Lumineers,A.M. RADIO,69770
The Lumineers,A.M. RADIO,74678
The Lumineers,A.M. RADIO,76045
The Lumineers,A.M. RADIO,84334
The Lumineers,A.M. RADIO,90020
The Lumineers,A.M. RADIO,98801
The Lumineers,A.M. RADIO,110299
The Lumineers,A.M. RADIO,113104
The Lumineers,A.M. RADIO,122210
The Lumineers,A.M. RADIO,134286
The Lumineers,A.M. RADIO,138563
The Lumineers,A.M. RADIO,223294
The Lumineers,A.M. RADIO,224380
The Lumineers,A.M. RADIO,230016
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237320
The Lumineers,A.M. RADIO,237627
Taylor Swift,‘tis the damn season,1194
Taylor Swift,‘tis the damn season,1322
Taylor Swift,‘tis the damn season,2252
Taylor Swift,‘tis the damn season,2252
Taylor Swift,‘tis the damn season,2325
Taylor Swift,‘tis the damn season,6485
Taylor Swift,‘tis the damn season,67053
Taylor Swift,‘tis the damn season,129495
Taylor Swift,‘tis the damn season,177058
Taylor Swift,‘tis the damn season,226794
Taylor Swift,‘tis the damn season,228160
Taylor Swift,‘tis the damn season,229840
Taylor Swift,‘tis the damn season,229840
Taylor Swift,‘tis the damn season,229840
Taylor Swift,‘tis the damn season,229840
Taylor Swift,‘tis the damn season,229840
Taylor Swift,‘tis the damn season,229840
Taylor Swift,‘tis the damn season,229840
Taylor Swift,‘tis the damn season,229840
Taylor Swift,‘tis the damn season,229840
Taylor Swift,‘tis the damn season,229840
Taylor Swift,‘tis the damn season,229840
Philip Glass,"Études, Book 1: No. 2, —",302120
John Mark Pantana,Abba,1493
The Jackson 5,ABC,2688
GAYLE,abcdefu,6314
Lizzo,About Damn Time,1173
Lizzo,About Damn Time,1216
Lizzo,About Damn Time,1230
Lizzo,About Damn Time,1983
Lizzo,About Damn Time,191822
Lizzo,About Damn Time,191822
Lizzo,About Damn Time,191822
Lizzo,About Damn Time - Purple Disco Machine Remix,75941
The National,About Today,30720
The National,About Today,105280
The National,About Today,250760
The National,About Today - 2021 Remaster,41407
The National,About Today - 2021 Remaster,88511
The 1975,About You,1021
The 1975,About You,1091
The 1975,About You,1330
The 1975,About You,1764
The 1975,About You,2304
The 1975,About You,3970
The 1975,About You,5170
The 1975,About You,5596
The 1975,About You,6293
The 1975,About You,11714
The 1975,About You,21589
The 1975,About You,52485
The 1975,About You,76207
The 1975,About You,81060
The 1975,About You,109343
The 1975,About You,189830
The 1975,About You,196431
The 1975,About You,209045
The 1975,About You,245420
The 1975,About You,254722
The 1975,About You,271675
The 1975,About You,274627
The 1975,About You,285408
The 1975,About You,289924
The 1975,About You,293827
The 1975,About You,301975
The 1975,About You,309011
The 1975,About You,312215
The 1975,About You,313179
The 1975,About You,313980
The 1975,About You,314325
The 1975,About You,317272
The 1975,About You,319661
The 1975,About You,320365
The 1975,About You,320960
The 1975,About You,322000
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326490
The 1975,About You,326914
The 1975,About You,345589
The 1975,About You,371178
The 1975,About You,376298
The 1975,About You,632310
Meadowlark,About You Now,1710
Arcade Fire,Abraham's Daughter,4351
Supa Bwe,"ACAB (feat. 7000, redveil, Chance the Rapper)",2220
Karmin,Acapella,34940
Karmin,Acapella,198906
Kris Bowers,Accidental Eavesdropping - From the Netflix Series “Bridgerton Season Two”,4480
Landon Conrath,Acetone,41935
Gang of Youths,Achilles Come Down,5589
The Weeknd,Acquainted,5440
Doja Cat,Addiction,1580
90's Kids,Adeline,1996
90's Kids,Adeline,227369
Dean Lewis,Adore,8000
Dean Lewis,Adore,9460
Harry Styles,Adore You,1044
Harry Styles,Adore You,1044
Harry Styles,Adore You,1090
Harry Styles,Adore You,1140
Harry Styles,Adore You,1151
Harry Styles,Adore You,1173
Harry Styles,Adore You,1493
Harry Styles,Adore You,1557
Harry Styles,Adore You,2368
Harry Styles,Adore You,2496
Harry Styles,Adore You,2507
Harry Styles,Adore You,2739
Harry Styles,Adore You,3413
Harry Styles,Adore You,5278
Miley Cyrus,Adore You,12307
Harry Styles,Adore You,12512
Harry Styles,Adore You,35721
Harry Styles,Adore You,44138
Miley Cyrus,Adore You,52181
Miley Cyrus,Adore You,166360
Maisie Peters,Adore You,198280
Harry Styles,Adore You,203529
Harry Styles,Adore You,207133
Harry Styles,Adore You,207133
Harry Styles,Adore You,207133
Harry Styles,Adore You,207133
Harry Styles,Adore You,207133
Harry Styles,Adore You,207133
Harry Styles,Adore You,207133
Miley Cyrus,Adore You,276046
Miley Cyrus,Adore You,278746
Coldplay,Adventure of a Lifetime,8312
Coldplay,Adventure of a Lifetime,263786
BETWEEN FRIENDS,affection,3854
BETWEEN FRIENDS,affection,74422
BETWEEN FRIENDS,affection,97100
Ed Sheeran,Afire Love,314280
The Weeknd,After Hours,7253
Dermot Kennedy,After Rain,2773
Dermot Kennedy,After Rain,11306
Nick Wilson,After the Rain,25774
Mumford & Sons,After the Storm,59238
Mumford & Sons,After the Storm,70016
Taylor Swift,Afterglow,1350
Taylor Swift,Afterglow,1600
Ed Sheeran,Afterglow,1720
Ed Sheeran,Afterglow,2730
Taylor Swift,Afterglow,3285
Taylor Swift,Afterglow,3584
Carly Rose,Afterglow,6208
Ed Sheeran,Afterglow,18040
Taylor Swift,Afterglow,149350
Taylor Swift,Afterglow,161258
Taylor Swift,Afterglow,194304
Taylor Swift,Afterglow,213728
Taylor Swift,Afterglow,222238
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Taylor Swift,Afterglow,223293
Hailee Steinfeld,Afterlife,5240
Joji,Afterthought,3764
Joji,Afterthought,194871
Rachel Bobbitt,Again,2581
Fetty Wap,Again,138090
Bear's Den,Agape,1408
Robert Westenberg,Agony (reprise),4522
Imogen Heap,Aha! - Instrumental Version,10368
Paramore,Ain't It Fun,6549
Russ,Ain't Nobody Takin My Baby,4670
The Lumineers,Ain't Nobody's Problem,1429
The Lumineers,Ain't Nobody's Problem,2739
The Lumineers,Ain't Nobody's Problem,3851
The Lumineers,Ain't Nobody's Problem,48739
The Lumineers,Ain't Nobody's Problem,110890
Doja Cat,Ain't Shit,174253
Dean Martin,Ain't That A Kick In The Head,10170
Clairo,Alewife,2964
Clairo,Alewife,4992
Vundabar,Alien Blues,54752
Beyoncé,ALIEN SUPERSTAR,178870
Khalid,Alive,1280
Khalid,Alive,1429
ROLE MODEL,alive,1486
Khalid,Alive,2113
Khalid,Alive,2647
Sia,Alive,8725
Khalid,Alive,10140
Khalid,Alive,177413
Anna Margaret,All Electric,3669
Kanye West,All Falls Down,223506
High School Musical Cast,All For One,17614
Barbie,"All for One (From ""Barbie and the Three Musketeers"")",40518
Labrinth,All For Us - from the HBO Original Series Euphoria,1535
Juice WRLD,All Girls Are The Same,1130
Juice WRLD,All Girls Are The Same,165819
Jess Glynne,All I Am,153898
Dean Martin,All I Do Is Dream Of You - 1998 Remaster,6880
Rachel Chinouriri,All I Ever Asked,1365
Rachel Chinouriri,All I Ever Asked,65417
Khalid,All I Feel Is Rain (feat. JID),1600
The 1975,All I Need To Hear,1021
The 1975,All I Need To Hear,1207
The 1975,All I Need To Hear,1393
The 1975,All I Need To Hear,1430
The 1975,All I Need To Hear,1602
The 1975,All I Need To Hear,2089
The 1975,All I Need To Hear,2740
The 1975,All I Need To Hear,3297
The 1975,All I Need To Hear,4988
The 1975,All I Need To Hear,7314
The 1975,All I Need To Hear,7805
The 1975,All I Need To Hear,8508
The 1975,All I Need To Hear,9311
The 1975,All I Need To Hear,9572
The 1975,All I Need To Hear,10688
The 1975,All I Need To Hear,16134
The 1975,All I Need To Hear,17159
The 1975,All I Need To Hear,21689
The 1975,All I Need To Hear,98336
The 1975,All I Need To Hear,156692
The 1975,All I Need To Hear,181655
The 1975,All I Need To Hear,185109
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
The 1975,All I Need To Hear,210447
